Make,Model,Total.Injuries
107.5 Flying Corporation,One Design DR 107,1.0
1200,G103,1.0
177MF LLC,PITTS MODEL 12,2.0
1977 Colfer-chan,STEEN SKYBOLT,1.0
1st Ftr Gp,FOCKE-WULF 190,1.0
2000 Mccoy,Genesis,1.0
2001 Mcgirl,QUESTAIR VENTURE,1.0
2003 Nash,Kitfox II,1.0
2007 Savage Air LLC,EPIC LT,0.0
2021FX3 LLC,CCX-2000,0.0
3XTRIM,450 ULTRA,2.0
5 RIVERS LLC,SQ-2,1.0
67 Flying Dutchman,D1/LFD-13,0.0
737,800,0.0
777,FF2,0.0
781569 INC,FX 210,3.0
85 Manista,KB-2,1.0
A Pair Of Jacks,RV-6A,1.0
A. H. Gettings,GLASSAIR SH2,0.0
A. Le Francois,RANS S-7,1.0
A. Schleicher GMBH & Co.,ASW 27-18,1.0
AAA AIRCRAFT LLC,CCX-2000,0.0
AARDEMA ROBERT JOHN,1 AARDEMA RAG WNG SP,0.0
AB SPORTINE AVIACIJA,GENESIS 2,1.0
AB SPORTINE AVIACIJA,LAK 17,0.0
AB SPORTINE AVIACIJA,LAK-17A,1.0
AB Sportine Aviacija,Genesis 2,0.0
ABBETT GERRY,LANCAIR EVOLUTION,2.0
ABBEY VICTOR,RV9-A,1.0
ACKLAND JEFFREY DEAN,SH 3R,0.0
ACRO,SUPER ACRO SPORT I,1.0
ADAMS,DRAGONFLY,0.0
ADAMS BALLOONS LLC,A55S,0.0
ADAMS DENNIS ALLEN,VARIEZE,2.0
ADAMS DONALD L,DA1,1.0
ADAMS JOHN R JR,PIEL DIAMANT,0.0
ADRIAN GEORGE W,EUROPA CLASSIC,0.0
AERMACCHI,IMPALA MB-326M,2.0
AERO ADVENTURE,ZEPHYR II,1.0
AERO AT SP ZOO,AT-4 LSA,1.0
AERO COMMANDER,100,5.0
AERO COMMANDER,100 180,0.0
AERO COMMANDER,100-180,1.0
AERO COMMANDER,112,0.0
AERO COMMANDER,112A,2.0
AERO COMMANDER,114B,3.0
AERO COMMANDER,200D,2.0
AERO COMMANDER,500,6.0
AERO COMMANDER,500 - B,0.0
AERO COMMANDER,500 B,1.0
AERO COMMANDER,500 S,4.0
AERO COMMANDER,500-B,4.0
AERO COMMANDER,500A,1.0
AERO COMMANDER,500B,3.0
AERO COMMANDER,500S,2.0
AERO COMMANDER,560-F,1.0
AERO COMMANDER,560E,0.0
AERO COMMANDER,680 E,1.0
AERO COMMANDER,680 F,0.0
AERO COMMANDER,680-F,0.0
AERO COMMANDER,680E,4.0
AERO COMMANDER,680FL,1.0
AERO COMMANDER,685,3.0
AERO COMMANDER,690,1.0
AERO COMMANDER,690A,0.0
AERO COMMANDER,B1A,1.0
AERO COMMANDER,CALLAIR A 9,1.0
AERO COMMANDER,CALLAIR A 9B,1.0
AERO COMMANDER,CALLAIR A-9B,1.0
AERO COMMANDER,CallAir,1.0
AERO COMMANDER,S2R,7.0
AERO SMART SOLUTIONS INC,LANCAIR EVOLUTION,1.0
AERO SP Z O O,AT 4 LSA,1.0
AERO SP Z O O,AT-4 LSA,1.0
AERO TEK INC.,ZUNI,1.0
AERO VODOCHODY,L 39,0.0
AERO VODOCHODY,L 39C,2.0
AERO VODOCHODY,L-29,2.0
AERO VODOCHODY,L-39,2.0
AERO VODOCHODY,L39,1.0
AERO VODOCHODY,L39C,3.0
AERO-ACE,CE 1,1.0
AEROFAB INC,LAKE LA 250,3.0
AEROFAB INC,LAKE LA 4 250,3.0
AEROFAB INC.,Lake LA-4-250,1.0
AEROLITE,BEARCAT,1.0
AEROMOT,AMT-100,0.0
AEROMOT,AMT-200(SU,0.0
AEROMOT,AMT200,0.0
